bone,lung,skin,kidney,breast,endometrium,liver,haematopoietic_and_lymphoid_tissue,central_nervous_system,stomach,soft_tissue,large_intestine
GO:0006813,-0.271873795744274,-0.25271103979335,0.265742172870895,0.19024167591036,-0.24990508384256,0.261664202487787,0.246333028587527,0.290332044160703,0.230674296421819,-0.187693800325601,-0.327414108209416,-0.248325329123905
GO:0015293,-0.371180299001412,0.377965213206912,-0.230481444954328,-0.265252899365239,-0.308131058139094,-0.407340020431519,-0.369824976206248,-0.241536311849134,0.306019298249071,0.277608297856869,-0.236673261211833,-0.268843416914475
GO:0055085,-0.298272784988682,-0.19328323341961,0.222594941327823,0.209660937626337,-0.188598408671156,-0.191326694250508,-0.253832612862242,0.205587737484738,0.220041993790158,0.187613363942749,-0.237187655731615,-0.14991538738556
GO:0000166,0.30488783092916,0.178641751193151,0.17023506959944,-0.26497433277836,0.280000773634472,0.370480890100888,-0.238248150910904,-0.236158608736772,-0.210596931364561,0.257348441454484,-0.228641049908401,0.208338442756023
GO:0044822,0.390291908147842,0.197275077975851,0.176597225405013,-0.307645382919103,0.380655574720967,0.403620883472425,-0.270744623170153,-0.377330477218245,-0.295096861395066,0.260396133669166,-0.170533271970391,-0.269973997401276
GO:0042384,0.220687796098297,-0.226311589947696,0.221062933719255,0.214300235070897,-0.349084124069493,-0.238180846713375,0.207088188760821,0.309091206187002,0.220511113290127,-0.222531331436233,0.202540282620908,-0.17568682257801
GO:0000122,-0.222384592539577,0.211296443180495,0.221620752958781,-0.235994117035746,0.196213140207999,0.173144514879191,-0.193725092753471,-0.210723808755957,-0.295613833048882,0.193008316654448,-0.245857992246943,0.224805856789915
GO:0000978,-0.250718056534759,0.262944778871024,-0.200026436153399,-0.22376879883717,-0.200640905639051,-0.314137882057891,-0.174874749342448,0.199667634358813,-0.239997261233925,0.210619390522838,-0.342598767900683,0.195678666854195
GO:0001047,-0.235743765608828,0.392143597118888,-0.323725855720601,-0.362810146118632,-0.28117586872674,0.216991387362096,-0.278843075847658,0.322272646999185,-0.28027216889606,-0.232455422619497,-0.39439381685991,0.262461241021505
GO:0001078,-0.2612145653153,0.266126273827539,-0.250018892889142,-0.242383382305344,0.271195945797384,-0.249894511945715,0.226990065247228,-0.271245326372594,-0.359087641090361,0.245202580779686,-0.330720195473999,-0.21746755318095
GO:0001890,-0.176796746907564,0.307838029190261,0.241927942906086,-0.221718787256779,0.241143376779563,-0.242115454480441,0.308900860600165,-0.336327785718288,0.266766765274052,0.390901830213489,0.193509074362882,0.313754059000179
